Month,Day,Year,Hour,Minute,Outdoor Temperature (°F),Hourly Rain (in/hr),Solar Radiation (W/m^2)
3,1,2023,18,10,73.2,0,22.6
3,1,2023,18,5,73.8,0,26.7
3,1,2023,18,0,74.1,0,34.6
3,1,2023,17,55,74.3,0,50
3,1,2023,17,50,74.5,0,69.3
3,1,2023,17,45,74.7,0,81.3
3,1,2023,17,40,74.7,0,81.9
3,1,2023,17,35,74.8,0,90.5
3,1,2023,17,30,75.6,0,98.2
3,1,2023,17,25,75.2,0,113.6
3,1,2023,17,20,75.7,0,127.2
3,1,2023,17,15,75.9,0,142.1
3,1,2023,17,10,75.6,0,115.2
3,1,2023,17,5,75.6,0,132.4
3,1,2023,17,0,75.9,0,120.7
3,1,2023,16,55,76.6,0,112.9
3,1,2023,16,50,75.2,0,107.5
3,1,2023,16,45,75.6,0,115.4
3,1,2023,16,40,76.1,0,138.7
3,1,2023,16,35,77.7,0,119.5
3,1,2023,16,30,77.7,0,155.2
3,1,2023,16,25,77.9,0,197.1
3,1,2023,16,20,77.9,0,231.3
3,1,2023,16,15,77.9,0,225.1
3,1,2023,16,10,77.9,0,233.4
3,1,2023,16,5,77.4,0,619.1
3,1,2023,16,0,78.3,0,653
3,1,2023,15,55,77.4,0,563.5
3,1,2023,15,50,77.7,0,283.6
3,1,2023,15,45,77.4,0,219.2
3,1,2023,15,40,78.4,0,207.7
3,1,2023,15,35,78.3,0,177.8
3,1,2023,15,30,80.6,0,589
3,1,2023,15,25,80.8,0,680.1
3,1,2023,15,20,80.1,0,714.9
3,1,2023,15,15,80.2,0,732.4
3,1,2023,15,10,80.8,0,725.9
3,1,2023,15,5,78.8,0,528.7
3,1,2023,15,0,77.7,0,262.4
3,1,2023,14,55,77.4,0,288.9
3,1,2023,14,50,78.4,0,217.8
3,1,2023,14,45,78.1,0,281.9
3,1,2023,14,40,78.1,0,260
3,1,2023,14,35,78.1,0,267.4
3,1,2023,14,30,79.9,0,265
3,1,2023,14,25,81.9,0,935.1
3,1,2023,14,20,84.6,0,1022
3,1,2023,14,15,81.9,0,1002.2
3,1,2023,14,10,80.4,0,1001.4
3,1,2023,14,5,80.1,0,255.7
3,1,2023,14,0,81.5,0,1072.9
3,1,2023,13,55,84.4,0,1091.5
3,1,2023,13,50,83.3,0,942.7
3,1,2023,13,45,83.3,0,1074.2
3,1,2023,13,40,81.5,0,1107.3
3,1,2023,13,35,81.1,0,601.4
3,1,2023,13,30,81.5,0,484
3,1,2023,13,25,80.4,0,451
3,1,2023,13,20,77.7,0,696.7
3,1,2023,13,15,77.9,0,423.8
3,1,2023,13,10,78.4,0,708
3,1,2023,13,5,76.6,0,1189
3,1,2023,13,0,77.9,0,356.5
3,1,2023,12,55,78.6,0,375.4
